informaticien,informaticienLabel,date_de_naissance,sexe_ou_genre,sexe_ou_genreLabel,lieu_de_naissance,lieu_de_naissanceLabel
http://www.wikidata.org/entity/Q92717,John Fairclough,1930-08-23T00:00:00Z,http://www.wikidata.org/entity/Q6581097,masculin,http://www.wikidata.org/entity/Q145,Royaume-Uni
http://www.wikidata.org/entity/Q92718,Mary Ann Horton,1955-07-17T00:00:00Z,http://www.wikidata.org/entity/Q1052281,femme trans,http://www.wikidata.org/entity/Q30,États-Unis
http://www.wikidata.org/entity/Q92719,Norbert Fuhr,1956-01-01T00:00:00Z,http://www.wikidata.org/entity/Q6581097,masculin,http://www.wikidata.org/entity/Q183,Allemagne
http://www.wikidata.org/entity/Q92720,Daniel Keim,2000-01-01T00:00:00Z,http://www.wikidata.org/entity/Q6581097,masculin,http://www.wikidata.org/entity/Q183,Allemagne
http://www.wikidata.org/entity/Q92721,Christof Ebert,1964-01-01T00:00:00Z,http://www.wikidata.org/entity/Q6581097,masculin,http://www.wikidata.org/entity/Q183,Allemagne
http://www.wikidata.org/entity/Q92722,T. V. Raman,1965-05-04T00:00:00Z,http://www.wikidata.org/entity/Q6581097,masculin,http://www.wikidata.org/entity/Q668,Inde
http://www.wikidata.org/entity/Q92723,Harold Cohen,1928-05-01T00:00:00Z,http://www.wikidata.org/entity/Q6581097,masculin,http://www.wikidata.org/entity/Q30,États-Unis
http://www.wikidata.org/entity/Q92723,Harold Cohen,1928-05-01T00:00:00Z,http://www.wikidata.org/entity/Q6581097,masculin,http://www.wikidata.org/entity/Q145,Royaume-Uni
http://www.wikidata.org/entity/Q92724,David Galer Kirkpatrick,1953-01-01T00:00:00Z,http://www.wikidata.org/entity/Q6581097,masculin,http://www.wikidata.org/entity/Q16,Canada
http://www.wikidata.org/entity/Q92725,Ralph Griswold,1934-01-01T00:00:00Z,http://www.wikidata.org/entity/Q6581097,masculin,http://www.wikidata.org/entity/Q30,États-Unis
http://www.wikidata.org/entity/Q92726,Joe Celko,1947-02-24T00:00:00Z,http://www.wikidata.org/entity/Q6581097,masculin,http://www.wikidata.org/entity/Q30,États-Unis
http://www.wikidata.org/entity/Q92727,Klaus Dittrich,1950-12-30T00:00:00Z,http://www.wikidata.org/entity/Q6581097,masculin,http://www.wikidata.org/entity/Q183,Allemagne
http://www.wikidata.org/entity/Q92728,Hans-Peter Seidel,1958-04-24T00:00:00Z,http://www.wikidata.org/entity/Q6581097,masculin,http://www.wikidata.org/entity/Q183,Allemagne
http://www.wikidata.org/entity/Q92729,Franz Baader,1959-06-15T00:00:00Z,http://www.wikidata.org/entity/Q6581097,masculin,http://www.wikidata.org/entity/Q183,Allemagne
